"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0x6d2632b0", "0x4d617e55", " DMG AGING TES",     "0x0000", "Game Boy Controller Kensa Cartridge (Japan)"
"0xcb3dd788", "0xde0bf323", " ROCKMAN WORLD",     "0x0000", "Rockman World 2 (Japan)"
"0x8f4a3d3c", "0x2287270f", "4 IN 1 FUN PAK",     "0x0000", "4-in-1 Fun Pak (USA, Europe)"
"0xd077f3bf", "0xe421f221", "ABYSS NO TOU",       "0x0000", "Chachamaru Boukenki 3 - Abyss no Tou (Japan)"
"0xd4a22717", "0x0456bf4f", "ACE STRIKER",        "0x0000", "Takeda Nobuhiro no Ace Striker (Japan)"
"0x0a4779d0", "0x464e9052", "ADDAMS FAMILY",      "0x0000", "Addams Family, The (Japan)"
"0xec31ea0e", "0x0fbc0f64", "ADDAMS FAMILY",      "0x0000", "Addams Family, The (USA)"
"0xf7bd088b", "0xab33ebfb", "ADDAMS FAMILY",      "0x0000", "Addams Family, The (Europe) (En,Fr,De)"
"0x7375c87e", "0x3f798a93", "ADDAMS FAMILY ",     "0x0000", "Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)"
"0xd2ef7a7a", "0x7bb1e012", "ADVENTURE ISLA",     "0x0000", "Adventure Island (USA, Europe)"
"0xf11daffa", "0xc17c9d94", "ADVENTUREISLAN",     "0x0000", "Adventure Island II - Aliens in Paradise (USA, Europe)"
"0x9f38a94b", "0x38238b9c", "AEROSTAR",           "0x0000", "Aerostar (USA, Europe)"
"0xc1959a2f", "0x6e24fac6", "AEROSTAR",           "0x0000", "Aero Star (Japan)"
"0x48b17536", "0xd78aafdd", "AFTER BURST",        "0x0000", "After Burst (Japan)"
"0xbafc4d73", "0x6b41d536", "AGRO SOAR",          "0x0000", "Agro Soar (Australia)"
"0x04224979", "0xe0563a6c", "AKAZUKIN-CHACH",     "0x0000", "Akazukin Chacha (Japan)"
"0x712093f5", "0x3577bfc3", "ALADDIN",            "0x0000", "Aladdin (Europe), Aladdin (USA)"
"0xeb5091c7", "0x3d82ba17", "ALFRED CHICKEN",     "0x0000", "Alfred Chicken (Japan)"
"0xfeb27bee", "0x8a0ec0d2", "ALFRED CHICKEN",     "0x0000", "Alfred Chicken (Europe), Alfred Chicken (USA)"
"0xbed9ba80", "0x1671455f", "ALIEN",              "0x0000", "Alien 3 (Japan), Alien 3 (USA, Europe)"
"0xd4d203a1", "0x6239d89b", "ALIEN OLYMPICS",     "0x0000", "Alien Olympics (Europe)"
"0x2c295f35", "0x49c2ebb0", "Alien vs Predator",  "0xff95", "Alien vs Predator (Japan)"
"0x342cab43", "0xbff31f0d", "Alien vs Predator",  "0xff95", "Alien vs Predator - The Last of His Clan (USA)"
"0xf483870b", "0x19ffc737", "ALL STAR BB '9",     "0x0000", "All-Star Baseball 99 (USA)"
"0x3cd85003", "0xb7163ae4", "ALLEY WAY",          "0x0000", "Alleyway (World)"
"0xfda45d1f", "0x64d45c67", "ALLSTARCHALLEN",     "0x0000", "NBA All Star Challenge (USA, Europe)"
"0xfecac3eb", "0x5e1bb447", "ALSTARCHALLENG",     "0x0000", "NBA All Star Challenge 2 (Japan), NBA All Star Challenge 2 (USA, Europe)"
"0x00a75c60", "0xc40a4335", "ALTERED SPACE",      "0x0000", "Altered Space - A 3-D Alien Adventure (Europe)"
"0x6eb85cc3", "0x3a86c3f7", "ALTERED SPACE",      "0x0000", "Altered Space - A 3-D Alien Adventure (USA)"
"0xc9110778", "0x3c045df5", "ALTERED SPACE",      "0x0000", "Altered Space - A 3-D Alien Adventure (Japan)"
"0x49b0ceae", "0x29ebe835", "AMAZING PENGUI",     "0x0000", "Amazing Penguin (USA, Europe)"
"0x3c994212", "0x2ebc0341", "AMAZING-TATER",      "0x0000", "A-mazing Tater (USA)"
"0x2aa4c225", "0xa73b7e30", "AMIDA",              "0x0000", "Amida (Japan)"
"0x3af8b8d2", "0xb5aa1d71", "ANGEL MARLOWE",      "0x0000", "Taiyou no Tenshi Marlowe - Ohanabatake wa Dai-panic (Japan)"
"0x41d0b700", "0x04ce9222", "ANIMAL BREEDER",     "0x0000", "Animal Breeder (Japan)"
"0xcb002c42", "0x84e84877", "ANIMAL BREEDER",     "0x0000", "Animal Breeder 2 (Japan)"
"0x94829d09", "0x0f47a121", "ANIMANIACS",         "0x0000", "Animaniacs (Europe), Animaniacs (USA)"
"0x6800bc00", "0xe0235e00", "ANOTHER BIBLE ",     "0x0000", "Another Bible (Japan)"
"0x5a66cfdc", "0xbc6d4100", "ARETHA",             "0x0000", "Aretha (Japan)"
"0xb772428b", "0xf9303d37", "ARETHA2",            "0x0000", "Aretha II (Japan)"
"0x18799283", "0xc037baeb", "ARETHA3",            "0x0000", "Aretha III (Japan)"
